FileName,NB_whistle_mean_time,nbVolume
LC_ARU1_20240707_062500.wav,97.18,-5.54
LC_ARU1_20240707_062500.wav,107.58,-5.59
LC_ARU1_20240707_062500.wav,118.35,-5.07
LC_ARU1_20240707_062500.wav,129.13,-5.58
LC_ARU1_20240707_062500.wav,142.32,-5.52
LC_ARU1_20240707_062500.wav,157.18,-5.33
LC_ARU1_20240707_062500.wav,171.29,-5.43
LC_ARU1_20240707_062500.wav,182.81,-5.14
LC_ARU1_20240707_062500.wav,206.77,-6.24
LC_ARU1_20240707_062500.wav,219.78,-5.44
LC_ARU1_20240707_062500.wav,247.83,-5.27
LC_ARU1_20240707_062500.wav,291.11,-5.43
LC_ARU1_20240707_062500.wav,316.93,-4.84
LC_ARU1_20240707_062500.wav,329.38,-5.89
LC_ARU1_20240707_062500.wav,342.38,-5.66
LC_ARU1_20240707_062500.wav,364.48,-5.67
LC_ARU1_20240707_062500.wav,592.78,-5.22
LC_ARU2_20240629_062500.wav,49.62,-5.19
LC_ARU2_20240629_062500.wav,124.11,-4.44
LC_ARU2_20240629_062500.wav,966.9,-5.27
LC_ARU2_20240629_062500.wav,1070.56,-5.49
LC_ARU2_20240629_062500.wav,1676.13,-5.67
LC_ARU1_20240629_062500.wav,324.92,-6.12
LC_ARU1_20240629_062500.wav,584.24,-5.27
LC_ARU2_20240625_062500.wav,443.43,-5.69
LC_ARU2_20240625_062500.wav,506.22,-5.66
LC_ARU2_20240625_062500.wav,1729.26,-5.31
LC_ARU2_20240625_062500.wav,1773.47,-6.21
LC_ARU1_20240703_062500.wav,1578.61,-4.77
LC_ARU1_20240703_062500.wav,1635.27,-4.75
LC_ARU1_20240703_062500.wav,1657.18,-4.63
LC_ARU1_20240703_062500.wav,1672.23,-5.03
LC_ARU1_20240703_062500.wav,1686.72,-4.76
LC_ARU1_20240703_062500.wav,1711.24,-4.72
LC_ARU1_20240703_062500.wav,1746.16,-4.72
LC_ARU1_20240703_062500.wav,1760.28,-4.92
LC_ARU1_20240703_062500.wav,1777,-5.17
LC_ARU1_20240703_062500.wav,1790.56,-4.8
LC_ARU1_20240625_062500.wav,164.42,-5.38
LC_ARU1_20240625_062500.wav,243,-5.23
LC_ARU1_20240625_062500.wav,256.37,-5.24
LC_ARU1_20240625_062500.wav,269.19,-5.19
LC_ARU1_20240625_062500.wav,284.61,-5.13
LC_ARU1_20240625_062500.wav,299.1,-5.22
LC_ARU1_20240625_062500.wav,319.16,-6.38
LC_ARU1_20240625_062500.wav,336.99,-5.52
LC_ARU1_20240625_062500.wav,369.87,-5.48
LC_ARU1_20240625_062500.wav,386.59,-5.82
LC_ARU1_20240625_062500.wav,400.15,-5.55
LC_ARU1_20240625_062500.wav,419.1,-5.21
LC_ARU1_20240625_062500.wav,434.7,-5.53
LC_ARU1_20240625_062500.wav,491.17,-5.3
LC_ARU1_20240625_062500.wav,506.78,-5.45
LC_ARU1_20240625_062500.wav,527.39,-5.62
LC_ARU1_20240625_062500.wav,542.81,-5.46
LC_ARU1_20240625_062500.wav,558.23,-5.41
LC_ARU1_20240625_062500.wav,575.14,-5.27
LC_ARU1_20240625_062500.wav,593.53,-5.25
LC_ARU1_20240625_062500.wav,607.09,-5.28
LC_ARU1_20240625_062500.wav,628.26,-5.32
LC_ARU1_20240625_062500.wav,660.77,-5.24
LC_ARU1_20240625_062500.wav,692.54,-5.23
LC_ARU1_20240625_062500.wav,709.07,-5.18
LC_ARU1_20240625_062500.wav,723.37,-5.13
LC_ARU1_20240625_062500.wav,758.29,-5.25
LC_ARU1_20240625_062500.wav,858.42,-5.34
LC_ARU1_20240625_062500.wav,882.57,-5.15
LC_ARU1_20240625_062500.wav,897.61,-5.38
LC_ARU1_20240625_062500.wav,987.89,-6.21
LC_ARU1_20240625_062500.wav,1014.09,-5.74
LC_ARU1_20240625_062500.wav,1020.77,-5.52
LC_ARU1_20240625_062500.wav,1027.83,-5.69
LC_ARU1_20240625_062500.wav,1051.24,-5.45
LC_ARU1_20240625_062500.wav,1220.46,-5.5
LC_ARU1_20240625_062500.wav,1247.4,-5.86
LC_ARU1_20240625_062500.wav,1268.39,-5.89
LC_ARU1_20240625_062500.wav,1295.33,-5.46
LC_ARU1_20240625_062500.wav,1308.89,-5.01
LC_ARU1_20240625_062500.wav,1409.2,-5.75
LC_ARU1_20240625_062500.wav,1438.36,-5.79
LC_ARU1_20240625_062500.wav,1445.23,-5.88
LC_ARU1_20240625_062500.wav,1484.24,-5.68
LC_ARU1_20240625_062500.wav,1588.27,-5.71
LC_ARU1_20240625_062500.wav,1616.88,-5.86
LC_ARU1_20240625_062500.wav,1650.87,-5.83
LC_ARU1_20240625_062500.wav,1787.59,-5.94
LC_ARU2_20240707_062500.wav,366.71,-4.43
LC_ARU2_20240707_062500.wav,469.25,-4.34
LC_ARU2_20240707_062500.wav,671.36,-4.26
LC_ARU2_20240707_062500.wav,881.82,-4.79
LC_ARU2_20240707_062500.wav,958.36,-4.36
LC_ARU2_20240707_062500.wav,1061.64,-4.34
LC_ARU2_20240707_062500.wav,1332.66,-4.59
LC_ARU2_20240707_062500.wav,1349.57,-4.58
LC_ARU2_20240707_062500.wav,1384.49,-4.34
LC_ARU2_20240707_062500.wav,1697.31,-3.98
LC_ARU2_20240707_062500.wav,1731.3,-4.4
LC_ARU2_20240707_062500.wav,1797.62,-4.79
LC_ARU2_20240703_062500.wav,6.52,-4.99
LC_ARU2_20240703_062500.wav,56.87,-4.99
LC_ARU2_20240703_062500.wav,229.62,-5.09
LC_ARU2_20240703_062500.wav,458.11,-4.47
LC_ARU2_20240703_062500.wav,503.62,-4.64
LC_ARU2_20240703_062500.wav,637.36,-5.18
LC_ARU2_20240703_062500.wav,765.54,-5.19
LC_ARU2_20240703_062500.wav,848.02,-5.31
LC_ARU2_20240703_062500.wav,854.89,-5.48
LC_ARU2_20240703_062500.wav,927.71,-6.03
LC_ARU2_20240703_062500.wav,937.55,-5.26
LC_ARU2_20240703_062500.wav,1027.83,-5.11
LC_ARU2_20240703_062500.wav,1623.01,-5.22
LC_ARU3_20240707_062500.wav,972.29,-5.49
LC_ARU3_20240707_062500.wav,1744.31,-5.58
LC_ARU3_20240703_062500.wav,1359.6,-5.6
LC_ARU3_20240703_062500.wav,1696.57,-5.96
LC_ARU4_20240625_062500.wav,10.24,-3.67
LC_ARU4_20240625_062500.wav,18.97,-3.89
LC_ARU4_20240625_062500.wav,35.13,-3.58
LC_ARU4_20240625_062500.wav,50.55,-3.55
LC_ARU4_20240625_062500.wav,63.18,-3.49
LC_ARU4_20240625_062500.wav,77.67,-3.5
LC_ARU4_20240625_062500.wav,88.44,-3.43
LC_ARU4_20240625_062500.wav,94.57,-4.73
LC_ARU4_20240625_062500.wav,102.93,-3.54
LC_ARU4_20240625_062500.wav,111.48,-5.35
LC_ARU4_20240625_062500.wav,116.12,-3.54
LC_ARU4_20240625_062500.wav,146.59,-3.63
LC_ARU4_20240625_062500.wav,172.41,-3.98
LC_ARU4_20240625_062500.wav,181.7,-3.99
LC_ARU4_20240625_062500.wav,202.69,-3.67
LC_ARU4_20240625_062500.wav,214.95,-3.65
LC_ARU4_20240625_062500.wav,220.33,-3.89
LC_ARU4_20240625_062500.wav,228.32,-3.78
LC_ARU4_20240625_062500.wav,242.07,-3.71
LC_ARU4_20240625_062500.wav,246.9,-4
LC_ARU4_20240625_062500.wav,260.46,-4.05
LC_ARU4_20240625_062500.wav,269.75,-3.82
LC_ARU4_20240625_062500.wav,279.78,-4.86
LC_ARU4_20240625_062500.wav,287.58,-3.83
LC_ARU4_20240625_062500.wav,296.68,-4.9
LC_ARU4_20240625_062500.wav,301.14,-3.89
LC_ARU4_20240625_062500.wav,314.89,-5.09
LC_ARU4_20240625_062500.wav,329.75,-3.96
LC_ARU4_20240625_062500.wav,336.06,-4.88
LC_ARU4_20240625_062500.wav,348.14,-4.06
LC_ARU4_20240625_062500.wav,364.11,-4.02
LC_ARU4_20240625_062500.wav,370.06,-4.08
LC_ARU4_20240625_062500.wav,381.76,-4.16
LC_ARU4_20240625_062500.wav,388.63,-3.97
LC_ARU4_20240625_062500.wav,394.39,-4.16
LC_ARU4_20240625_062500.wav,405.54,-3.94
LC_ARU4_20240625_062500.wav,446.22,-3.88
LC_ARU4_20240625_062500.wav,635.32,-5.26
LC_ARU4_20240625_062500.wav,662.26,-5.01
LC_ARU4_20240625_062500.wav,891.3,-4.86
LC_ARU4_20240625_062500.wav,901.51,-5.88
LC_ARU4_20240625_062500.wav,927.15,-4.7
LC_ARU4_20240625_062500.wav,931.24,-5.76
LC_ARU4_20240625_062500.wav,964.49,-4.38
LC_ARU4_20240625_062500.wav,980.65,-4.5
LC_ARU4_20240625_062500.wav,989.75,-4.47
LC_ARU4_20240625_062500.wav,998.11,-4.69
LC_ARU4_20240625_062500.wav,1007.58,-4.58
LC_ARU4_20240625_062500.wav,1052.54,-4.41
LC_ARU4_20240625_062500.wav,1069.44,-4.7
LC_ARU4_20240625_062500.wav,1410.12,-5.19
LC_ARU4_20240625_062500.wav,1457.31,-5.68
LC_ARU4_20240629_062500.wav,9.87,-3.99
LC_ARU4_20240629_062500.wav,23.43,-3.88
LC_ARU4_20240629_062500.wav,111.48,-3.76
LC_ARU4_20240629_062500.wav,133.96,-5.52
LC_ARU4_20240629_062500.wav,202.87,-3.75
LC_ARU4_20240629_062500.wav,313.21,-4.04
LC_ARU4_20240629_062500.wav,357.42,-4.01
LC_ARU4_20240629_062500.wav,387.7,-4.22
LC_ARU4_20240629_062500.wav,398.85,-3.88
LC_ARU4_20240629_062500.wav,524.98,-3.76
LC_ARU4_20240629_062500.wav,576.44,-4.24
LC_ARU4_20240629_062500.wav,609.13,-4.12
LC_ARU4_20240629_062500.wav,641.27,-4.67
LC_ARU4_20240629_062500.wav,1346.41,-4.66
LC_ARU4_20240703_062500.wav,165.54,-5.08
LC_ARU4_20240703_062500.wav,551.73,-4.84
LC_ARU4_20240703_062500.wav,947.4,-6.17
LC_ARU4_20240703_062500.wav,1275.63,-4.66
LC_ARU4_20240707_062500.wav,37.73,-4.26
LC_ARU4_20240707_062500.wav,45.91,-4.75
LC_ARU4_20240707_062500.wav,63,-4.62
LC_ARU4_20240707_062500.wav,89.56,-4.18
LC_ARU4_20240707_062500.wav,107.76,-4.29
LC_ARU4_20240707_062500.wav,124.3,-4.93
LC_ARU4_20240707_062500.wav,133.77,-4.02
LC_ARU4_20240707_062500.wav,147.14,-4.19
LC_ARU4_20240707_062500.wav,161.45,-4.24
LC_ARU4_20240707_062500.wav,208.26,-4.42
LC_ARU4_20240707_062500.wav,228.32,-4.95
LC_ARU4_20240707_062500.wav,245.78,-4.72
LC_ARU4_20240707_062500.wav,278.66,-4.82
LC_ARU4_20240707_062500.wav,286.84,-4.68
LC_ARU4_20240707_062500.wav,305.23,-4.64
LC_ARU4_20240707_062500.wav,319.16,-4.67
LC_ARU4_20240707_062500.wav,333.09,-4.63
LC_ARU4_20240707_062500.wav,344.98,-4.62
LC_ARU4_20240707_062500.wav,368.2,-3.31
LC_ARU4_20240707_062500.wav,376.37,-3.22
LC_ARU4_20240707_062500.wav,386.59,-3.41
LC_ARU4_20240707_062500.wav,394.95,-3.35
LC_ARU4_20240707_062500.wav,426.16,-3.34
LC_ARU4_20240707_062500.wav,434.33,-3.31
LC_ARU4_20240707_062500.wav,451.23,-3.31
LC_ARU4_20240707_062500.wav,463.68,-3.33
LC_ARU4_20240707_062500.wav,475.2,-3.38
LC_ARU4_20240707_062500.wav,485.97,-3.31
LC_ARU4_20240707_062500.wav,495.44,-3.35
LC_ARU4_20240707_062500.wav,515.69,-4.27
LC_ARU4_20240707_062500.wav,529.25,-3.28
LC_ARU4_20240707_062500.wav,546.16,-4.75
LC_ARU4_20240707_062500.wav,552.47,-3.24
LC_ARU4_20240707_062500.wav,558.6,-4.54
LC_ARU4_20240707_062500.wav,562.13,-3.42
LC_ARU4_20240707_062500.wav,573.28,-3.19
LC_ARU4_20240707_062500.wav,578.66,-4.75
LC_ARU4_20240707_062500.wav,585.17,-3.31
LC_ARU4_20240707_062500.wav,595.75,-3.21
LC_ARU4_20240707_062500.wav,621.02,-3.34
LC_ARU4_20240707_062500.wav,630.49,-3.33
LC_ARU4_20240707_062500.wav,643.31,-4.86
LC_ARU4_20240707_062500.wav,654.27,-3.26
LC_ARU4_20240707_062500.wav,685.29,-3.3
LC_ARU4_20240707_062500.wav,697.74,-3.42
LC_ARU4_20240707_062500.wav,715.38,-3.34
LC_ARU4_20240707_062500.wav,759.41,-3.23
LC_ARU4_20240707_062500.wav,774.08,-3.36
LC_ARU4_20240707_062500.wav,787.64,-3.23
LC_ARU4_20240707_062500.wav,796.56,-4.24
LC_ARU4_20240707_062500.wav,809.75,-3.26
LC_ARU4_20240707_062500.wav,819.59,-3.42
LC_ARU4_20240707_062500.wav,839.1,-3.46
LC_ARU4_20240707_062500.wav,861.2,-3.3
LC_ARU4_20240707_062500.wav,876.81,-3.45
LC_ARU4_20240707_062500.wav,899.1,-3.46
LC_ARU4_20240707_062500.wav,934.39,-3.41
LC_ARU4_20240707_062500.wav,948.7,-3.32
LC_ARU4_20240707_062500.wav,965.6,-3.45
LC_ARU4_20240707_062500.wav,978.42,-3.41
LC_ARU4_20240707_062500.wav,1004.43,-3.31
LC_ARU4_20240707_062500.wav,1045.29,-3.56
LC_ARU4_20240707_062500.wav,1059.04,-3.24
LC_ARU4_20240707_062500.wav,1072.04,-3.35
LC_ARU4_20240707_062500.wav,1092.29,-4.57
LC_ARU4_20240707_062500.wav,1125.73,-3.22
LC_ARU4_20240707_062500.wav,1140.4,-3.64
LC_ARU4_20240707_062500.wav,1154.15,-3.21
LC_ARU4_20240707_062500.wav,1159.72,-4.63
LC_ARU4_20240707_062500.wav,1193.16,-3.44
LC_ARU4_20240707_062500.wav,1205.79,-5.03
LC_ARU4_20240707_062500.wav,1208.95,-3.48
LC_ARU4_20240707_062500.wav,1263.93,-3.43
LC_ARU4_20240707_062500.wav,1277.12,-3.4
LC_ARU4_20240707_062500.wav,1290.31,-3.36
LC_ARU4_20240707_062500.wav,1304.43,-3.39
LC_ARU4_20240707_062500.wav,1317.06,-3.4
LC_ARU4_20240707_062500.wav,1347.52,-3.33
LC_ARU4_20240707_062500.wav,1363.31,-3.31
LC_ARU4_20240707_062500.wav,1380.22,-3.3
LC_ARU4_20240707_062500.wav,1392.85,-3.34
LC_ARU4_20240707_062500.wav,1427.96,-3.3
LC_ARU4_20240707_062500.wav,1444.12,-3.49
LC_ARU4_20240707_062500.wav,1466.22,-3.33
LC_ARU4_20240707_062500.wav,1478.3,-3.79
LC_ARU4_20240707_062500.wav,1490.74,-3.31
LC_ARU4_20240707_062500.wav,1505.79,-3.46
LC_ARU4_20240707_062500.wav,1518.05,-3.46
LC_ARU4_20240707_062500.wav,1522.88,-5.32
LC_ARU4_20240707_062500.wav,1529.75,-3.34
LC_ARU4_20240707_062500.wav,1544.8,-3.31
LC_ARU4_20240707_062500.wav,1559.29,-3.55
LC_ARU4_20240707_062500.wav,1569.88,-3.16
LC_ARU4_20240707_062500.wav,1597.18,-3.18
LC_ARU4_20240707_062500.wav,1610,-3.31
LC_ARU4_20240707_062500.wav,1622.08,-3.47
LC_ARU4_20240707_062500.wav,1639.17,-3.39
LC_ARU4_20240707_062500.wav,1652.54,-3.17
LC_ARU4_20240707_062500.wav,1664.43,-3.6
LC_ARU4_20240707_062500.wav,1683.75,-3.35
LC_ARU4_20240707_062500.wav,1736.88,-3.44
LC_ARU5_20240625_062500.wav,6.9,-3.26
LC_ARU5_20240625_062500.wav,22.13,-3.3
LC_ARU5_20240625_062500.wav,94.2,-4.46
LC_ARU5_20240625_062500.wav,104.98,-4.26
LC_ARU5_20240625_062500.wav,115.57,-4.28
LC_ARU5_20240625_062500.wav,126.53,-4.21
LC_ARU5_20240625_062500.wav,138.23,-4.38
LC_ARU5_20240625_062500.wav,179.84,-4.12
LC_ARU5_20240625_062500.wav,195.07,-4.35
LC_ARU5_20240625_062500.wav,210.3,-4.26
LC_ARU5_20240625_062500.wav,224.24,-4.21
LC_ARU5_20240625_062500.wav,245.97,-4.38
LC_ARU5_20240625_062500.wav,271.6,-4.31
LC_ARU5_20240625_062500.wav,290.55,-4.29
LC_ARU5_20240625_062500.wav,315.81,-4.45
LC_ARU5_20240625_062500.wav,342.94,-4.64
LC_ARU5_20240625_062500.wav,509,-5.62
LC_ARU5_20240625_062500.wav,971.17,-5.14
LC_ARU5_20240625_062500.wav,986.41,-5.2
LC_ARU5_20240625_062500.wav,1018.73,-4.86
LC_ARU5_20240625_062500.wav,1042.32,-5.05
LC_ARU5_20240625_062500.wav,1095.45,-4.77
LC_ARU5_20240625_062500.wav,1103.44,-5.41
LC_ARU5_20240625_062500.wav,1221.76,-5.17
LC_ARU5_20240625_062500.wav,1249.81,-5.56
LC_ARU5_20240625_062500.wav,1263.19,-5.52
LC_ARU5_20240625_062500.wav,1271.92,-5.07
LC_ARU5_20240625_062500.wav,1305.54,-5.13
LC_ARU5_20240625_062500.wav,1332.29,-5.01
LC_ARU5_20240625_062500.wav,1360.9,-5.11
LC_ARU5_20240625_062500.wav,1409.57,-4.76
LC_ARU5_20240625_062500.wav,1422.01,-4.88
LC_ARU5_20240625_062500.wav,1436.87,-5.13
LC_ARU5_20240625_062500.wav,1502.26,-5.1
LC_ARU5_20240625_062500.wav,1532.35,-4.98
LC_ARU5_20240625_062500.wav,1544.24,-4.73
LC_ARU5_20240625_062500.wav,1561.33,-4.88
LC_ARU5_20240625_062500.wav,1566.35,-5.34
LC_ARU5_20240625_062500.wav,1593.1,-4.43
LC_ARU5_20240625_062500.wav,1605.92,-4.67
LC_ARU5_20240625_062500.wav,1622.45,-4.84
LC_ARU5_20240625_062500.wav,1670.19,-4.83
LC_ARU5_20240625_062500.wav,1687.46,-5.04
LC_ARU5_20240625_062500.wav,1701.02,-5.63
LC_ARU5_20240629_062500.wav,42.56,-4.05
LC_ARU5_20240629_062500.wav,93.27,-4.56
LC_ARU5_20240629_062500.wav,99.03,-4.42
LC_ARU5_20240629_062500.wav,120.21,-4.18
LC_ARU5_20240629_062500.wav,432.29,-4.9
LC_ARU5_20240629_062500.wav,443.06,-4.9
LC_ARU5_20240629_062500.wav,600.58,-5.32
LC_ARU5_20240629_062500.wav,667.64,-4.94
LC_ARU5_20240629_062500.wav,685.66,-5.14
LC_ARU5_20240629_062500.wav,689.75,-5.18
LC_ARU5_20240629_062500.wav,815.88,-5.28
LC_ARU5_20240629_062500.wav,851.92,-5.25
LC_ARU5_20240629_062500.wav,1010,-5.3
LC_ARU5_20240629_062500.wav,1703.44,-5.35
LC_ARU5_20240629_062500.wav,1776.44,-5.44
LC_ARU5_20240703_062500.wav,10.98,-2.64
LC_ARU5_20240703_062500.wav,34.76,-2.53
LC_ARU5_20240703_062500.wav,44.23,-4.4
LC_ARU5_20240703_062500.wav,52.22,-2.66
LC_ARU5_20240703_062500.wav,64.48,-2.67
LC_ARU5_20240703_062500.wav,71.54,-3.41
LC_ARU5_20240703_062500.wav,77.3,-2.75
LC_ARU5_20240703_062500.wav,90.12,-4.62
LC_ARU5_20240703_062500.wav,96.25,-2.61
LC_ARU5_20240703_062500.wav,111.11,-2.71
LC_ARU5_20240703_062500.wav,118.91,-3.29
LC_ARU5_20240703_062500.wav,141.57,-3.44
LC_ARU5_20240703_062500.wav,152.72,-2.67
LC_ARU5_20240703_062500.wav,168.88,-2.69
LC_ARU5_20240703_062500.wav,173.89,-3.34
LC_ARU5_20240703_062500.wav,184.67,-2.83
LC_ARU5_20240703_062500.wav,193.03,-3.42
LC_ARU5_20240703_062500.wav,200.27,-2.69
LC_ARU5_20240703_062500.wav,210.86,-2.73
LC_ARU5_20240703_062500.wav,223.86,-2.64
LC_ARU5_20240703_062500.wav,237.61,-2.71
LC_ARU5_20240703_062500.wav,277.36,-2.63
LC_ARU5_20240703_062500.wav,289.62,-2.69
LC_ARU5_20240703_062500.wav,304.11,-2.69
LC_ARU5_20240703_062500.wav,318.6,-2.72
LC_ARU5_20240703_062500.wav,338.48,-2.59
LC_ARU5_20240703_062500.wav,376.93,-2.68
LC_ARU5_20240703_062500.wav,409.44,-2.74
LC_ARU5_20240703_062500.wav,465.91,-2.84
LC_ARU5_20240703_062500.wav,478.17,-2.7
LC_ARU5_20240703_062500.wav,486.16,-4.51
LC_ARU5_20240703_062500.wav,489.31,-4.34
LC_ARU5_20240703_062500.wav,493.03,-2.74
LC_ARU5_20240703_062500.wav,507.33,-2.6
LC_ARU5_20240703_062500.wav,533.71,-2.91
LC_ARU5_20240703_062500.wav,556.19,-4.28
LC_ARU5_20240703_062500.wav,565.85,-2.69
LC_ARU5_20240703_062500.wav,585.72,-2.71
LC_ARU5_20240703_062500.wav,602.63,-2.73
LC_ARU5_20240703_062500.wav,619.72,-4.64
LC_ARU5_20240703_062500.wav,661.88,-2.76
LC_ARU5_20240703_062500.wav,679.35,-2.81
LC_ARU5_20240703_062500.wav,683.8,-4.59
LC_ARU5_20240703_062500.wav,712.04,-5.15
LC_ARU5_20240703_062500.wav,721.14,-2.77
LC_ARU5_20240703_062500.wav,749.56,-2.61
LC_ARU5_20240703_062500.wav,777.43,-5.1
LC_ARU5_20240703_062500.wav,785.97,-4.51
LC_ARU5_20240703_062500.wav,792.1,-4.74
LC_ARU5_20240703_062500.wav,859.35,-2.82
LC_ARU5_20240703_062500.wav,893.16,-2.7
LC_ARU5_20240703_062500.wav,910.06,-2.76
LC_ARU5_20240703_062500.wav,921.95,-2.78
LC_ARU5_20240703_062500.wav,961.89,-2.76
LC_ARU5_20240703_062500.wav,971.92,-5.15
LC_ARU5_20240703_062500.wav,979.72,-2.77
LC_ARU5_20240703_062500.wav,997,-2.59
LC_ARU5_20240703_062500.wav,1009.07,-2.55
LC_ARU5_20240703_062500.wav,1025.6,-2.64
LC_ARU5_20240703_062500.wav,1039.35,-4.77
LC_ARU5_20240703_062500.wav,1051.98,-4.95
LC_ARU5_20240703_062500.wav,1060.9,-5.08
LC_ARU5_20240703_062500.wav,1080.59,-4.47
LC_ARU5_20240703_062500.wav,1089.13,-4.53
LC_ARU5_20240703_062500.wav,1097.31,-2.71
LC_ARU5_20240703_062500.wav,1111.98,-2.68
LC_ARU5_20240703_062500.wav,1153.96,-4.59
LC_ARU5_20240703_062500.wav,1161.58,-2.66
LC_ARU5_20240703_062500.wav,1169.38,-3.16
